"SampleId","Area","Sex","Side"
"B002",0.0179885088331633,"fem","lateral"
"B010",0.0600332921656017,"fem","lateral"
"B011",0.0723299146217043,"fem","lateral"
"B012",0.0752832518928207,"fem","lateral"
"B013",0.052139827095527,"fem","lateral"
"B015",0.0619663856521506,"fem","lateral"
"B019",0.021747301723675,"fem","lateral"
"B033",0.0622348708586157,"fem","lateral"
"B035",0.0374805348225313,"fem","lateral"
"B037",0.0872576921011652,"fem","lateral"
"B039",0.104279654191054,"fem","lateral"
"B041",0.0789346507007464,"fem","lateral"
"B042",0.0638457820974064,"fem","lateral"
"B048",0.0834988992106535,"fem","lateral"
"B063",0.0675508779466251,"fem","lateral"
"B064",0.0558986199860388,"fem","lateral"
"B072",0.0741019169843742,"fem","lateral"
"B076",0.0139612307361864,"fem","lateral"
"B078",0.0626644471889599,"fem","lateral"
"B079",0.0522472211781131,"fem","lateral"
"B080",0.0547709821188853,"fem","lateral"
"B081",0.0548246791601783,"fem","lateral"
"B083",0.0615368093218064,"fem","lateral"
"B084",0.0453203028513129,"fem","lateral"
"B087",0.0393062342264941,"fem","lateral"
"B092",0.0853782956559094,"fem","lateral"
"B094",0.0242173656231542,"fem","lateral"
"B101",0.0620200826934436,"fem","lateral"
"B001",0.0418299951672663,"mle","lateral"
"B003",0.0745314933147184,"mle","lateral"
"B006",0.0335069537668474,"mle","lateral"
"B008",0.0405949632175267,"mle","lateral"
"B009",0.0320571336519358,"mle","lateral"
"B014",0.0615368093218064,"mle","lateral"
"B020",0.0581001986790528,"mle","lateral"
"B016",0.0450518176448478,"mle","lateral"
"B017",0.0242710626644472,"mle","lateral"
"B018",0.0427428448692477,"mle","lateral"
"B034",0.0506900069806154,"mle","lateral"
"B036",0.0549857702840574,"mle","lateral"
"B040",0.0386618697309778,"mle","lateral"
"B046",0.0820490790957418,"mle","lateral"
"B047",0.0241636685818611,"mle","lateral"
"B061",0.056489287440262,"mle","lateral"
"B062",0.0400579928045965,"mle","lateral"
"B065",0.0458035762229501,"mle","lateral"
"B066",0.0581538957203458,"mle","lateral"
"B067",0.0399505987220104,"mle","lateral"
"B069",0.0678730601943833,"mle","lateral"
"B071",0.0417762981259733,"mle","lateral"
"B073",0.0376416259464104,"mle","lateral"
"B074",0.041239327713043,"mle","lateral"
"B075",0.0378027170702894,"mle","lateral"
"B090",0.0355474413359824,"mle","lateral"
"B091",0.0427965419105407,"mle","lateral"
"B082",0.0500993395263921,"mle","lateral"
"B085",0.0381248993180476,"mle","lateral"
"B086",0.0438704827364012,"mle","lateral"
"B089",0.0670676045749879,"mle","lateral"
"B093",0.032540407023573,"mle","lateral"
"B096",0.0805455619395371,"mle","lateral"
"B097",0.0466627288836385,"mle","lateral"
"B098",0.0406486602588197,"mle","lateral"
"B099",0.0505289158567363,"mle","lateral"
"B100",0.039037749020029,"mle","lateral"
"B102",0.0467701229662246,"mle","lateral"
"B103",0.0785050743704022,"mle","lateral"
"B002",0.0190548367888269,"fem","dorsal"
"B010",0.0394630000541331,"fem","dorsal"
"B011",0.0515346722243274,"fem","dorsal"
"B012",0.0707519081903318,"fem","dorsal"
"B013",0.0420072538299139,"fem","dorsal"
"B015",0.0474205597358307,"fem","dorsal"
"B033",0.0400043306447247,"fem","dorsal"
"B035",0.0260921344665187,"fem","dorsal"
"B037",0.0426027174795648,"fem","dorsal"
"B039",0.0857467655497212,"fem","dorsal"
"B041",0.0382720727548314,"fem","dorsal"
"B042",0.0335624966166838,"fem","dorsal"
"B048",0.0638228766307584,"fem","dorsal"
"B063",0.062090618740865,"fem","dorsal"
"B064",0.0383803388729497,"fem","dorsal"
"B072",0.067882856060196,"fem","dorsal"
"B076",0.0159151193633952,"fem","dorsal"
"B078",0.0374059438098847,"fem","dorsal"
"B079",0.0507768093974991,"fem","dorsal"
"B080",0.043631245601689,"fem","dorsal"
"B081",0.0376766091051805,"fem","dorsal"
"B083",0.0331835652032696,"fem","dorsal"
"B084",0.033291831321388,"fem","dorsal"
"B087",0.0163481838358686,"fem","dorsal"
"B092",0.0659881989931251,"fem","dorsal"
"B094",0.0250636063443945,"fem","dorsal"
"B101",0.0212201591511936,"fem","dorsal"
"B001",0.022302820332377,"mle","dorsal"
"B003",0.0857467655497212,"mle","dorsal"
"B006",0.0105018134574785,"mle","dorsal"
"B008",0.0195420343203594,"mle","dorsal"
"B009",0.0214908244464895,"mle","dorsal"
"B014",0.0671791262924268,"mle","dorsal"
"B020",0.0408163265306122,"mle","dorsal"
"B016",0.0195420343203594,"mle","dorsal"
"B017",0.0188383045525903,"mle","dorsal"
"B018",0.0351323553293997,"mle","dorsal"
"B034",0.0313971742543171,"mle","dorsal"
"B036",0.0314513073133763,"mle","dorsal"
"B040",0.0217073566827261,"mle","dorsal"
"B043",0.012937801115141,"mle","dorsal"
"B046",0.0686948519460835,"mle","dorsal"
"B047",0.021653223623667,"mle","dorsal"
"B062",0.0208953607968386,"mle","dorsal"
"B065",0.024901207167217,"mle","dorsal"
"B066",0.0505061441022032,"mle","dorsal"
"B067",0.0577599740161317,"mle","dorsal"
"B069",0.034591024738808,"mle","dorsal"
"B071",0.0284198560060629,"mle","dorsal"
"B073",0.0428192497158014,"mle","dorsal"
"B074",0.0404915281762572,"mle","dorsal"
"B075",0.0233313484545012,"mle","dorsal"
"B090",0.0247929410490987,"mle","dorsal"
"B091",0.0325339684945596,"mle","dorsal"
"B082",0.0344827586206897,"mle","dorsal"
"B085",0.0212742922102528,"mle","dorsal"
"B086",0.0350240892112813,"mle","dorsal"
"B089",0.0249553402262762,"mle","dorsal"
"B093",0.0215990905646078,"mle","dorsal"
"B096",0.0392464678178964,"mle","dorsal"
"B097",0.0204622963243653,"mle","dorsal"
"B098",0.0356195528609322,"mle","dorsal"
"B099",0.0429275158339198,"mle","dorsal"
"B102",0.0237102798679153,"mle","dorsal"
"B103",0.0450387051372273,"mle","dorsal"
