id,sex,lft,side,size
B035,fem,0.037480535,eh,2.828616114
B036,mle,0.04736079,eh,2.554147341
B037,fem,0.087257692,eh,3.125183514
B039,fem,0.104279654,eh,3.825767521
B040,mle,0.037426838,eh,2.404175379
B041,fem,0.078934651,eh,2.581940356
B042,fem,0.063845782,eh,2.560052812
B043,mle,NA,eh,2.351412025
B046,mle,0.092788487,eh,3.304208546
B047,mle,0.022660151,eh,2.11719718
B048,fem,0.083498899,eh,NA
B061,mle,0.043601998,eh,2.474518336
B062,mle,0.034527198,eh,2.247275423
B063,fem,0.067550878,eh,2.369543322
B064,fem,0.05589862,eh,3.037532141
B065,mle,0.032164528,eh,2.825544938
B066,mle,0.053321162,eh,2.293036623
B067,mle,0.034258712,eh,2.613001065
B069,mle,0.059388928,eh,2.511046469
B071,mle,0.037802717,eh,2.617899907
B072,fem,0.074101917,eh,3.471310992
B073,mle,0.029748161,eh,2.300043254
B074,mle,0.034205015,eh,2.088049174
B075,mle,0.026580035,eh,2.271754537
B076,fem,0.013961231,eh,2.651437741
B078,fem,0.062664447,eh,3.218267926
B079,fem,0.052247221,eh,2.353695285
B080,fem,0.054770982,eh,3.078972734
B081,fem,0.054824679,eh,2.94846276
B082,mle,0.047468185,eh,2.446293824
B083,fem,0.061536809,eh,2.913043289
B084,fem,0.045320303,eh,2.691488221
B085,mle,0.038447082,eh,2.468506068
B086,mle,0.038769264,eh,2.330909243
B087,fem,0.039306234,eh,3.294016992
B089,mle,0.055039467,eh,2.416774341
B090,mle,0.034473501,eh,2.673343235
B091,mle,0.038124899,eh,3.144339298
B092,fem,0.085378296,eh,2.892364117
B093,mle,0.029425979,eh,2.427319828
B094,fem,0.024217366,eh,2.729863581
B096,mle,0.073457552,eh,2.257766804
B097,mle,0.037910111,eh,2.280124183
B098,mle,0.038876658,eh,2.572186793
B099,mle,0.046609032,eh,2.472757662
B100,mle,0.031305375,eh,2.832464517
B101,fem,0.062020083,eh,2.793288306
B102,mle,0.043601998,eh,2.129339224
B103,mle,0.070396821,eh,2.31382141
