id,sex,dor,side,size
B036,mle,0.031451307,eh,2.554147341
B037,fem,0.042602717,eh,3.125183514
B039,fem,0.085746766,eh,3.825767521
B040,mle,0.021707357,eh,2.404175379
B041,fem,0.038272073,eh,2.581940356
B042,fem,0.033562497,eh,2.560052812
B043,mle,0.012937801,eh,2.351412025
B046,mle,0.068694852,eh,3.304208546
B047,mle,0.021653224,eh,2.11719718
B048,fem,0.063822877,eh,NA
B061,mle,NA,eh,2.474518336
B062,mle,0.020895361,eh,2.247275423
B063,fem,0.062090619,eh,2.369543322
B064,fem,0.038380339,eh,3.037532141
B065,mle,0.024901207,eh,2.825544938
B066,mle,0.050506144,eh,2.293036623
B067,mle,0.057759974,eh,2.613001065
B069,mle,0.034591025,eh,2.511046469
B071,mle,0.028419856,eh,2.617899907
B072,fem,0.067882856,eh,3.471310992
B073,mle,0.04281925,eh,2.300043254
B074,mle,0.040491528,eh,2.088049174
B075,mle,0.023331348,eh,2.271754537
B076,fem,0.015915119,eh,2.651437741
B078,fem,0.037405944,eh,3.218267926
B079,fem,0.050776809,eh,2.353695285
B080,fem,0.043631246,eh,3.078972734
B081,fem,0.037676609,eh,2.94846276
B082,mle,0.034482759,eh,2.446293824
B083,fem,0.033183565,eh,2.913043289
B084,fem,0.033291831,eh,2.691488221
B085,mle,0.021274292,eh,2.468506068
B086,mle,0.035024089,eh,2.330909243
B087,fem,0.016348184,eh,3.294016992
B089,mle,0.02495534,eh,2.416774341
B090,mle,0.024792941,eh,2.673343235
B091,mle,0.032533968,eh,3.144339298
B092,fem,0.065988199,eh,2.892364117
B093,mle,0.021599091,eh,2.427319828
B094,fem,0.025063606,eh,2.729863581
B096,mle,0.039246468,eh,2.257766804
B097,mle,0.020462296,eh,2.280124183
B098,mle,0.035619553,eh,2.572186793
B099,mle,0.042927516,eh,2.472757662
B100,mle,NA,eh,2.832464517
B101,fem,0.021220159,eh,2.793288306
B102,mle,0.02371028,eh,2.129339224
B103,mle,0.045038705,eh,2.31382141
